regne	phylum	classe	ordre	famille	genre	espece	lineage_by_level	tax_id_by_level	nb_contigs_Holopig_colon01_quantif_percontig	nb_reads_Holopig_colon01_quantif_percontig	depth_Holopig_colon01_quantif_percontig	nb_contigs_Holopig_colon02_quantif_percontig	nb_reads_Holopig_colon02_quantif_percontig	depth_Holopig_colon02_quantif_percontig	nb_contigs_Holopig_colon03_quantif_percontig	nb_reads_Holopig_colon03_quantif_percontig	depth_Holopig_colon03_quantif_percontig	nb_contigs_Holopig_colon04_quantif_percontig	nb_reads_Holopig_colon04_quantif_percontig	depth_Holopig_colon04_quantif_percontig	nb_contigs_Holopig_colon05_quantif_percontig	nb_reads_Holopig_colon05_quantif_percontig	depth_Holopig_colon05_quantif_percontig	nb_contigs_Holopig_colon06_quantif_percontig	nb_reads_Holopig_colon06_quantif_percontig	depth_Holopig_colon06_quantif_percontig	nb_contigs_Holopig_colon07_quantif_percontig	nb_reads_Holopig_colon07_quantif_percontig	depth_Holopig_colon07_quantif_percontig	nb_contigs_Holopig_colon08_quantif_percontig	nb_reads_Holopig_colon08_quantif_percontig	depth_Holopig_colon08_quantif_percontig	nb_contigs_Holopig_colon09_quantif_percontig	nb_reads_Holopig_colon09_quantif_percontig	depth_Holopig_colon09_quantif_percontig	nb_contigs_Holopig_colon10_quantif_percontig	nb_reads_Holopig_colon10_quantif_percontig	depth_Holopig_colon10_quantif_percontig	nb_contigs_Holopig_colon11_quantif_percontig	nb_reads_Holopig_colon11_quantif_percontig	depth_Holopig_colon11_quantif_percontig	nb_contigs_Holopig_colon12_quantif_percontig	nb_reads_Holopig_colon12_quantif_percontig	depth_Holopig_colon12_quantif_percontig	nb_contigs_Holopig_colon13_quantif_percontig	nb_reads_Holopig_colon13_quantif_percontig	depth_Holopig_colon13_quantif_percontig	nb_contigs_Holopig_colon14_quantif_percontig	nb_reads_Holopig_colon14_quantif_percontig	depth_Holopig_colon14_quantif_percontig	nb_contigs_Holopig_colon15_quantif_percontig	nb_reads_Holopig_colon15_quantif_percontig	depth_Holopig_colon15_quantif_percontig	nb_contigs_Holopig_colon16_quantif_percontig	nb_reads_Holopig_colon16_quantif_percontig	depth_Holopig_colon16_quantif_percontig	nb_contigs_Holopig_colon17_quantif_percontig	nb_reads_Holopig_colon17_quantif_percontig	depth_Holopig_colon17_quantif_percontig	nb_contigs_Holopig_colon18_quantif_percontig	nb_reads_Holopig_colon18_quantif_percontig	depth_Holopig_colon18_quantif_percontig	nb_contigs_Holopig_colon19_quantif_percontig	nb_reads_Holopig_colon19_quantif_percontig	depth_Holopig_colon19_quantif_percontig	nb_contigs_Holopig_colon20_quantif_percontig	nb_reads_Holopig_colon20_quantif_percontig	depth_Holopig_colon20_quantif_percontig	nb_contigs_Holopig_colon21_quantif_percontig	nb_reads_Holopig_colon21_quantif_percontig	depth_Holopig_colon21_quantif_percontig	nb_contigs_Holopig_colon22_quantif_percontig	nb_reads_Holopig_colon22_quantif_percontig	depth_Holopig_colon22_quantif_percontig	nb_contigs_Holopig_colon23_quantif_percontig	nb_reads_Holopig_colon23_quantif_percontig	depth_Holopig_colon23_quantif_percontig	nb_contigs_Holopig_colon24_quantif_percontig	nb_reads_Holopig_colon24_quantif_percontig	depth_Holopig_colon24_quantif_percontig	nb_contigs_Holopig_colon25_quantif_percontig	nb_reads_Holopig_colon25_quantif_percontig	depth_Holopig_colon25_quantif_percontig	nb_contigs_Holopig_colon26_quantif_percontig	nb_reads_Holopig_colon26_quantif_percontig	depth_Holopig_colon26_quantif_percontig	nb_contigs_Holopig_colon27_quantif_percontig	nb_reads_Holopig_colon27_quantif_percontig	depth_Holopig_colon27_quantif_percontig	nb_contigs_Holopig_colon28_quantif_percontig	nb_reads_Holopig_colon28_quantif_percontig	depth_Holopig_colon28_quantif_percontig	nb_contigs_Holopig_colon29_quantif_percontig	nb_reads_Holopig_colon29_quantif_percontig	depth_Holopig_colon29_quantif_percontig	nb_contigs_Holopig_colon30_quantif_percontig	nb_reads_Holopig_colon30_quantif_percontig	depth_Holopig_colon30_quantif_percontig	nb_contigs_Holopig_colon31_quantif_percontig	nb_reads_Holopig_colon31_quantif_percontig	depth_Holopig_colon31_quantif_percontig	nb_contigs_Holopig_colon32_quantif_percontig	nb_reads_Holopig_colon32_quantif_percontig	depth_Holopig_colon32_quantif_percontig	nb_contigs_Holopig_colon33_quantif_percontig	nb_reads_Holopig_colon33_quantif_percontig	depth_Holopig_colon33_quantif_percontig	nb_contigs_Holopig_colon34_quantif_percontig	nb_reads_Holopig_colon34_quantif_percontig
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera sp. WGK6	Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanosphaera; Methanosphaera sp. WGK6	2157; 28890; 183925; 2158; 2159; 2316; 1561964	1	16	3.11475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2.11332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanosphaera; Methanosphaera stadtmanae	2157; 28890; 183925; 2158; 2159; 2316; 2317	1	30	2.86363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	None	Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanosphaera; None	2157; 28890; 183925; 2158; 2159; 2316; None	23	466	3.0260821739130437	0	0	0	1	53	9.84046	9	67	1.9515077777777776	0	0	0	0	0	0	14	115	2.2872271428571422	8	53	1.84100125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	None	None	Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; None; None	2157; 28890; 183925; 2158; 2159; None; None	28	259	2.403775107142857	0	0	0	0	0	0	5	24	1.8278959999999997	1	7	1.7076	0	0	0	13	93	2.2640230769230767	7	46	2.024435714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	121	3.443445	0	0	0	5	343	15.48203	0	0	0	1	16	3.0668	4	456	5.03544	0	0	0	14	3615	34.09876214285715	0	0	0	1	7	2.18304	7	1340	47.23316	2	1026
Archaea	Euryarchaeota	Methanobacteria	None	None	None	None	Archaea; Euryarchaeota; Methanobacteria; None; None; None; None	2157; 28890; 183925; None; None; None; None	1	17	3.1609700000000003	0	0	0	0	0	0	2	43	3.276235	5	79	6.392498000000001	0	0	0	2	90	14.209935	2	9	1.9522650000000001	2	59	9.25808	2	251	12.2312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	51	19.9236	0	0	0	0	0	0	0	0	0	0	0	0	2	19	2.213605	4	188	11.524195	3	435	45.49303333333333	1	14	4.17635	1	17	5.68659	0	0	0	0	0	0	1	7	2.13246	0	0	0	0	0	0	1	5	2.07633	1	9
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium	None	Bacteria; Actinobacteria; Actinomycetia; Actinomycetales; Actinomycetaceae; Arcanobacterium; None	2; 201174; 1760; 2037; 2049; 28263; None	1	6	1.7070900000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1.3041200000000002	1	9	1.8052700000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	1.64784	15	469	3.6308580000000004	12	145	2.5295791666666667	0	0	0	0	0	0	11	148	2.8903809090909087	2	12	2.016165	0	0	0	3	24	2.028983333333333	0	0	0	0	0	0	0	0	0	4	29	2.6047974999999997	10	114
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	None	None	Bacteria; Actinobacteria; Actinomycetia; Actinomycetales; Actinomycetaceae; None; None	2; 201174; 1760; 2037; 2049; None; None	1	4	1.3180100000000001	0	0	0	0	0	0	2	20	2.6273400000000002	2	10	1.6332200000000001	0	0	0	1	4	1.6802099999999998	0	0	0	0	0	0	0	0	0	4	18	1.6295475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	112	2.174521	6	319	3.8598850000000002	9	98	2.2970155555555554	0	0	0	0	0	0	14	161	3.0789250000000004	0	0	0	1	9	1.95609	0	0	0	0	0	0	1	15	2.83174	0	0	0	1	10	2.3690900000000004	13	122
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Aeriscardovia	Aeriscardovia sp.	Bacteria; Actinobacteria; Actinomycetia; Bifidobacteriales; Bifidobacteriaceae; Aeriscardovia; Aeriscardovia sp.	2; 201174; 1760; 85004; 31953; 240233; 1872397	1	12	1.75901	0	0	0	0	0	0	0	0	0	1	116	17.0281	0	0	0	2	60	4.65381	0	0	0	0	0	0	1	28	6.80014	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2.18051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	36	6.259195	1	4	1.54344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	4.8227	0	0
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis	Bacteria; Actinobacteria; Actinomycetia; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium animalis	2; 201174; 1760; 85004; 31953; 1678; 28025	1	30	2.72286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	61	4.80675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	1.9161400000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	2.4749	0	0	0	0	0	0	0	0	0	1	60	4.88281	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	None	Bacteria; Actinobacteria; Actinomycetia; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; None	2; 201174; 1760; 85004; 31953; 1678; None	1	12	2.64629	1	9	2.5869299999999997	0	0	0	3	50	2.6158066666666664	4	154	2.9523175	1	5	1.97527	0	0	0	0	0	0	1	38	6.38373	3	82	3.3665566666666664	0	0	0	1	19	3.8188800000000005	0	0	0	42	1284	3.2594414285714284	1	93	5.96622	2	71	3.3257399999999997	42	440	2.302984523809524	8	21805	8.989955	11	65	2.1004199999999997	0	0	0	3	21675	23.5642	7	9842	7.606688571428571	0	0	0	15	2850	5.204746666666667	19	166	2.0321742105263154	1	5	1.18688	2	19	1.908585	6	49	2.572623333333333	12	370	9.755094166666666	6	122	3.95715	3	40	3.2632099999999995	0	0	0	11	110	2.849234545454545	1	37
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	None	None	None	Bacteria; Actinobacteria; Actinomycetia; Bifidobacteriales; None; None; None	2; 201174; 1760; 85004; None; None; None	1	14	3.24987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	7.946969999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2.4304200000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	None	Bacteria; Actinobacteria; Actinomycetia; Corynebacteriales; Corynebacteriaceae; Corynebacterium; None	2; 201174; 1760; 85007; 1653; 1716; None	2	36	2.6776999999999997	4	29	1.797835	1	6	1.7162	4	33	1.9670174999999999	1	7	1.5607799999999998	1	5	1.79958	1	5	1.6600400000000002	1	4	1.31466	1	5	1.7099799999999998	7	78	2.1920742857142854	5	48	2.286976	0	0	0	0	0	0	0	0	0	2	8	1.5287300000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	47	2.036434	14	177	2.3965714285714284	2	11	1.642805	0	0	0	45	1376	5.192884666666667	3	17	1.8062566666666664	1	9	2.0058	0	0	0	0	0	0	0	0	0	0	0	0	13	139	2.3765169230769234	33	464
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	None	None	Bacteria; Actinobacteria; Actinomycetia; Corynebacteriales; Corynebacteriaceae; None; None	2; 201174; 1760; 85007; 1653; None; None	4	30	1.9006850000000002	2	13	1.7681449999999999	0	0	0	0	0	0	1	7	2.38658	0	0	0	0	0	0	1	5	1.59988	1	4	1.14634	2	38	2.8182150000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	226	2.565821176470589	2	14	2.257215	0	0	0	12	737	5.843605	2	14	1.702025	4	26	2.006015	1	8	1.82198	0	0	0	1	8	1.45056	0	0	0	3	19	2.0599733333333337	10	114
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	None	None	None	Bacteria; Actinobacteria; Actinomycetia; Corynebacteriales; None; None; None	2; 201174; 1760; 85007; None; None; None	1	6	1.64428	1	10	2.72169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1.69711	0	0	0	1	5	1.74416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	1.96238	0	0	0	1	4	1.68946	0	0	0	2	110	4.85878	1	6	2.19201	2	34	2.155705	0	0	0	0	0	0	0	0	0	0	0	0	1	11	4.0761400000000005	1	10
