Code_function;Definition_function
1.3.7;Oxidoreductases,Acting on the CH-CH group of donors,With an iron-sulfur protein as acceptor [EC1.3.7]
1.3.8;Oxidoreductases,Acting on the CH-CH group of donors,With a flavin as acceptor [EC1.3.8]
1.3.98;Oxidoreductases,Acting on the CH-CH group of donors,With other, known, physiological acceptors [EC1.3.98]
1.3.99;Oxidoreductases,Acting on the CH-CH group of donors,With unknown physiological acceptors [EC1.3.99]
1.4;Oxidoreductases,Acting on the CH-NH2 group of donors [EC1.4]
1.4.1;Oxidoreductases,Acting on the CH-NH2 group of donors,With NAD+ or NADP+ as acceptor [EC1.4.1]
1.4.2;Oxidoreductases,Acting on the CH-NH2 group of donors,With a cytochrome as acceptor [EC1.4.2]
1.4.3;Oxidoreductases,Acting on the CH-NH2 group of donors,With oxygen as acceptor [EC1.4.3]
1.4.4;Oxidoreductases,Acting on the CH-NH2 group of donors,With a disulfide as acceptor [EC1.4.4]
1.4.5;Oxidoreductases,Acting on the CH-NH2 group of donors,With a quinone or other compound as acceptor [EC1.4.5]
1.4.7;Oxidoreductases,Acting on the CH-NH2 group of donors,With an iron-sulfur protein as acceptor [EC1.4.7]
1.4.9;Oxidoreductases,Acting on the CH-NH2 group of donors,With a copper protein as acceptor [EC1.4.9]
1.4.99;Oxidoreductases,Acting on the CH-NH2 group of donors,With unknown physiological acceptors [EC1.4.99]
1.5;Oxidoreductases,Acting on the CH-NH group of donors [EC1.5]
1.5.1;Oxidoreductases,Acting on the CH-NH group of donors,With NAD+ or NADP+ as acceptor [EC1.5.1]
1.5.3;Oxidoreductases,Acting on the CH-NH group of donors,With oxygen as acceptor [EC1.5.3]
1.5.4;Oxidoreductases,Acting on the CH-NH group of donors,With a disulfide as acceptor [EC1.5.4]
1.5.5;Oxidoreductases,Acting on the CH-NH group of donors,With a quinone or similar compound as acceptor [EC1.5.5]
1.5.7;Oxidoreductases,Acting on the CH-NH group of donors,With an iron-sulfur protein as acceptor [EC1.5.7]
1.5.8;Oxidoreductases,Acting on the CH-NH group of donors,With a flavin or flavoprotein as acceptor [EC1.5.8]
1.5.98;Oxidoreductases,Acting on the CH-NH group of donors,With other, known, physiological acceptors [EC1.5.98]
1.5.99;Oxidoreductases,Acting on the CH-NH group of donors,With unknown physiological acceptors [EC1.5.99]
1.6;Oxidoreductases,Acting on NADH or NADPH [EC1.6]
1.6.1;Oxidoreductases,Acting on NADH or NADPH,With NAD+ or NADP+ as acceptor [EC1.6.1]
1.6.2;Oxidoreductases,Acting on NADH or NADPH,With a heme protein as acceptor [EC1.6.2]
1.6.3;Oxidoreductases,Acting on NADH or NADPH,With oxygen as acceptor [EC1.6.3]
1.6.4;Oxidoreductases,Acting on NADH or NADPH,With a disulfide as acceptor (deleted sub-subclass) [EC1.6.4]
1.6.5;Oxidoreductases,Acting on NADH or NADPH,With a quinone or similar compound as acceptor [EC1.6.5]
1.6.6;Oxidoreductases,Acting on NADH or NADPH,With a nitrogenous group as acceptor [EC1.6.6]
1.6.7;Oxidoreductases,Acting on NADH or NADPH,With an iron-sulfur protein as acceptor (deleted sub-subclass) [EC1.6.7]
1.6.8;Oxidoreductases,Acting on NADH or NADPH,With a flavin as acceptor (deleted sub-subclass) [EC1.6.8]
1.6.99;Oxidoreductases,Acting on NADH or NADPH,With unknown physiological acceptors [EC1.6.99]
1.7;Oxidoreductases,Acting on other nitrogenous compounds as donors [EC1.7]
1.7.1;Oxidoreductases,Acting on other nitrogenous compounds as donors,With NAD+ or NADP+ as acceptor [EC1.7.1]
1.7.2;Oxidoreductases,Acting on other nitrogenous compounds as donors,With a cytochrome as acceptor [EC1.7.2]
1.7.3;Oxidoreductases,Acting on other nitrogenous compounds as donors,With oxygen as acceptor [EC1.7.3]
1.7.5;Oxidoreductases,Acting on other nitrogenous compounds as donors,With a quinone or similar compound as acceptor [EC1.7.5]
1.7.6;Oxidoreductases,Acting on other nitrogenous compounds as donors,With a nitrogenous group as acceptor [EC1.7.6]
1.7.7;Oxidoreductases,Acting on other nitrogenous compounds as donors,With an iron-sulfur protein as acceptor [EC1.7.7]
1.7.9;Oxidoreductases,Acting on other nitrogenous compounds as donors,With a copper protein as acceptor [EC1.7.9]
1.7.99;Oxidoreductases,Acting on other nitrogenous compounds as donors,With unknown physiological acceptors [EC1.7.99]
1.8;Oxidoreductases,Acting on a sulfur group of donors [EC1.8]
1.8.1;Oxidoreductases,Acting on a sulfur group of donors,With NAD+ or NADP+ as acceptor [EC1.8.1]
1.8.2;Oxidoreductases,Acting on a sulfur group of donors,With a cytochrome as acceptor [EC1.8.2]
1.8.3;Oxidoreductases,Acting on a sulfur group of donors,With oxygen as acceptor [EC1.8.3]
1.8.4;Oxidoreductases,Acting on a sulfur group of donors,With a disulfide as acceptor [EC1.8.4]
1.8.5;Oxidoreductases,Acting on a sulfur group of donors,With a quinone or similar compound as acceptor [EC1.8.5]
1.8.6;Oxidoreductases,Acting on a sulfur group of donors,With a nitrogenous group as acceptor (deleted sub-subclass) [EC1.8.6]
1.8.7;Oxidoreductases,Acting on a sulfur group of donors,With an iron-sulfur protein as acceptor [EC1.8.7]
1.8.98;Oxidoreductases,Acting on a sulfur group of donors,With other, known, physiological acceptors [EC1.8.98]
1.8.99;Oxidoreductases,Acting on a sulfur group of donors,With unknown physiological acceptors [EC1.8.99]
1.9;Oxidoreductases,Acting on a heme group of donors [EC1.9]
1.9.3;Oxidoreductases,Acting on a heme group of donors,With oxygen as acceptor [EC1.9.3]
1.9.6;Oxidoreductases,Acting on a heme group of donors,With a nitrogenous group as acceptor [EC1.9.6]
1.9.98;Oxidoreductases,Acting on a heme group of donors,With other, known, physiological acceptors [EC1.9.98]
1.9.99;Oxidoreductases,Acting on a heme group of donors,With unknown physiological acceptors [EC1.9.99]
1.10;Oxidoreductases,Acting on diphenols and related substances as donors [EC1.10]
1.10.1;Oxidoreductases,Acting on diphenols and related substances as donors,With NAD+ or NADP+ as acceptor [EC1.10.1]
1.10.2;Oxidoreductases,Acting on diphenols and related substances as donors,With a cytochrome as acceptor [EC1.10.2]
1.10.3;Oxidoreductases,Acting on diphenols and related substances as donors,With oxygen as acceptor [EC1.10.3]
1.10.5;Oxidoreductases,Acting on diphenols and related substances as donors,With a quinone or related compound as acceptor [EC1.10.5]
1.10.9;Oxidoreductases,Acting on diphenols and related substances as donors,With a copper protein as acceptor [EC1.10.9]
1.10.99;Oxidoreductases,Acting on diphenols and related substances as donors,With unknown physiological acceptors [EC1.10.99]
1.11;Oxidoreductases,Acting on a peroxide as acceptor [EC1.11]
1.11.1;Oxidoreductases,Acting on a peroxide as acceptor,Peroxidases [EC1.11.1]
1.11.2;Oxidoreductases,Acting on a peroxide as acceptor,Peroxygenases [EC1.11.2]
1.12;Oxidoreductases,Acting on hydrogen as donor [EC1.12]
1.12.1;Oxidoreductases,Acting on hydrogen as donor,With NAD+ or NADP+ as acceptor [EC1.12.1]
1.12.2;Oxidoreductases,Acting on hydrogen as donor,With a cytochrome as acceptor [EC1.12.2]
1.12.5;Oxidoreductases,Acting on hydrogen as donor,With a quinone or similar compound as acceptor [EC1.12.5]
1.12.7;Oxidoreductases,Acting on hydrogen as donor,With an iron-sulfur protein as acceptor [EC1.12.7]
1.12.98;Oxidoreductases,Acting on hydrogen as donor,With other, known, physiological acceptors [EC1.12.98]
1.12.99;Oxidoreductases,Acting on hydrogen as donor,With unknown physiological acceptors [EC1.12.99]
1.13;Oxidoreductases,Acting on single donors with incorporation of molecular oxygen (oxygenases) [EC1.13]
1.13.11;Oxidoreductases,Acting on single donors with incorporation of molecular oxygen (oxygenases),With incorporation of two atoms of oxygen [EC1.13.11]
1.13.12;Oxidoreductases,Acting on single donors with incorporation of molecular oxygen (oxygenases),With incorporation of one atom of oxygen (internal monooxygenases or internal mixed-function oxidases) [EC1.13.12]
1.13.99;Oxidoreductases,Acting on single donors with incorporation of molecular oxygen (oxygenases),Miscellaneous [EC1.13.99]
1.14;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen [EC1.14]
1.14.1;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With NADH or NADPH as one donor (deleted sub-subclass) [EC1.14.1]
1.14.2;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With ascorbate as one donor (deleted sub-subclass) [EC1.14.2]
1.14.3;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With reduced pteridine as one donor (deleted sub-subclass) [EC1.14.3]
1.14.11;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With 2-oxoglutarate as one donor, and incorporation of one atom of oxygen into each donor [EC1.14.11]
1.14.12;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into the other donor [EC1.14.12]
1.14.13;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor [EC1.14.13]
1.14.14;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor [EC1.14.14]
1.14.15;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen into the other donor [EC1.14.15]
1.14.16;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With reduced pteridine as one donor, and incorporation of one atom of oxygen into the other donor [EC1.14.16]
1.14.17;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With reduced ascorbate as one donor, and incorporation of one atom of oxygen into the other donor [EC1.14.17]
1.14.18;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With another compound as one donor, and incorporation of one atom of oxygen into the other donor [EC1.14.18]
1.14.19;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With oxidation of a pair of donors resulting in the reduction of O2 to two molecules of water [EC1.14.19]
1.14.20;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With 2-oxoglutarate as one donor, and the other dehydrogenated [EC1.14.20]
1.14.21;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,With NADH or NADPH as one donor, and the other dehydrogenated [EC1.14.21]
1.14.99;Oxidoreductases,Acting on paired donors, with incorporation or reduction of molecular oxygen,Miscellaneous [EC1.14.99]
1.15;Oxidoreductases,Acting on superoxide as acceptor [EC1.15]
1.15.1;Oxidoreductases,Acting on superoxide as acceptor,Acting on superoxide as acceptor (only sub-subclass identified to date) [EC1.15.1]
1.16;Oxidoreductases,Oxidizing metal ions [EC1.16]
1.16.1;Oxidoreductases,Oxidizing metal ions,With NAD+ or NADP+ as acceptor [EC1.16.1]
1.16.3;Oxidoreductases,Oxidizing metal ions,With oxygen as acceptor [EC1.16.3]
1.16.5;Oxidoreductases,Oxidizing metal ions,With a quinone or similar compound as acceptor [EC1.16.5]
1.16.8;Oxidoreductases,Oxidizing metal ions,With a flavin as acceptor [EC1.16.8]
1.16.9;Oxidoreductases,Oxidizing metal ions,With a copper protein as acceptor [EC1.16.9]
1.16.98;Oxidoreductases,Oxidizing metal ions,With other, known, physiological acceptors [EC1.16.98]
1.16.99;Oxidoreductases,Oxidizing metal ions,With unknown physiological acceptors [EC1.16.99]
1.17;Oxidoreductases,Acting on CH or CH2 groups [EC1.17]
1.17.1;Oxidoreductases,Acting on CH or CH2 groups,With NAD+ or NADP+ as acceptor [EC1.17.1]
1.17.2;Oxidoreductases,Acting on CH or CH2 groups,With a cytochrome as acceptor [EC1.17.2]
1.17.3;Oxidoreductases,Acting on CH or CH2 groups,With oxygen as acceptor [EC1.17.3]
1.17.4;Oxidoreductases,Acting on CH or CH2 groups,With a disulfide as acceptor [EC1.17.4]
1.17.5;Oxidoreductases,Acting on CH or CH2 groups,With a quinone or similar compound as acceptor [EC1.17.5]
1.17.7;Oxidoreductases,Acting on CH or CH2 groups,With an iron-sulfur protein as acceptor [EC1.17.7]
1.17.8;Oxidoreductases,Acting on CH or CH2 groups,With a flavin as acceptor [EC1.17.8]
1.17.9;Oxidoreductases,Acting on CH or CH2 groups,With a copper protein as acceptor [EC1.17.9]
1.17.98;Oxidoreductases,Acting on CH or CH2 groups,With other, known, physiological acceptors [EC1.17.98]
1.17.99;Oxidoreductases,Acting on CH or CH2 groups,With unknown physiological acceptors [EC1.17.99]
1.18;Oxidoreductases,Acting on iron-sulfur proteins as donors [EC1.18]
1.18.1;Oxidoreductases,Acting on iron-sulfur proteins as donors,With NAD+ or NADP+ as acceptor [EC1.18.1]
1.18.2;Oxidoreductases,Acting on iron-sulfur proteins as donors,With dinitrogen as acceptor (deleted sub-subclass) [EC1.18.2]
1.18.3;Oxidoreductases,Acting on iron-sulfur proteins as donors,With H+ as acceptor (deleted sub-subclass) [EC1.18.3]
1.18.6;Oxidoreductases,Acting on iron-sulfur proteins as donors,With dinitrogen as acceptor [EC1.18.6]
1.18.96;Oxidoreductases,Acting on iron-sulfur proteins as donors,With other, known, acceptors (deleted sub-subclass) [EC1.18.96]
1.18.99;Oxidoreductases,Acting on iron-sulfur proteins as donors,With H+ as acceptor (deleted sub-subclass) [EC1.18.99]
1.19;Oxidoreductases,Acting on reduced flavodoxin as donor [EC1.19]
1.19.1;Oxidoreductases,Acting on reduced flavodoxin as donor,With NAD+ or NADP+ as acceptor [EC1.19.1]
1.19.6;Oxidoreductases,Acting on reduced flavodoxin as donor,With dinitrogen as acceptor [EC1.19.6]
1.20;Oxidoreductases,Acting on phosphorus or arsenic in donors [EC1.20]
1.20.1;Oxidoreductases,Acting on phosphorus or arsenic in donors,With NAD+ or NADP+ as acceptor [EC1.20.1]
1.20.2;Oxidoreductases,Acting on phosphorus or arsenic in donors,With a cytochrome as acceptor [EC1.20.2]
1.20.4;Oxidoreductases,Acting on phosphorus or arsenic in donors,With disulfide as acceptor [EC1.20.4]
1.20.9;Oxidoreductases,Acting on phosphorus or arsenic in donors,With a copper protein as acceptor [EC1.20.9]
1.20.98;Oxidoreductases,Acting on phosphorus or arsenic in donors,With other, known, physiological acceptors [EC1.20.98]
1.20.99;Oxidoreductases,Acting on phosphorus or arsenic in donors,With unknown physiological acceptors [EC1.20.99]
1.21;Oxidoreductases,Catalysing the reaction X-H + Y-H = X-Y [EC1.21]
1.21.1;Oxidoreductases,Catalysing the reaction X-H + Y-H = X-Y,With NAD+ or NADP+ as acceptor [EC1.21.1]
1.21.3;Oxidoreductases,Catalysing the reaction X-H + Y-H = X-Y,With oxygen as acceptor [EC1.21.3]
1.21.4;Oxidoreductases,Catalysing the reaction X-H + Y-H = X-Y,With a disulfide as acceptor [EC1.21.4]
1.21.98;Oxidoreductases,Catalysing the reaction X-H + Y-H = X-Y,With other, known, physiological acceptors [EC1.21.98]
1.21.99;Oxidoreductases,Catalysing the reaction X-H + Y-H = X-Y,With unknown physiological acceptors [EC1.21.99]
1.22;Oxidoreductases,Acting on halogen in donors [EC1.22]
1.22.1;Oxidoreductases,Acting on halogen in donors,With NAD+ or NADP+ as acceptor [EC1.22.1]
1.23;Oxidoreductases,Reducing C-O-C group as acceptor [EC1.23]
1.23.1;Oxidoreductases,Reducing C-O-C group as acceptor,With NADH or NADPH as donor [EC1.23.1]
1.23.5;Oxidoreductases,Reducing C-O-C group as acceptor,With a quinone or similar compound as acceptor [EC1.23.5]
1.97;Oxidoreductases,Other oxidoreductases [EC1.97]
1.97.1;Oxidoreductases,Other oxidoreductases,Sole sub-subclass for oxidoreductases that do not belong in the other subclasses [EC1.97.1]
1.98;Oxidoreductases,Enzymes using H2 as reductant (deleted subclass) [EC1.98]
1.99;Oxidoreductases,Other enzymes using O2 as oxidant (deleted subclass) [EC1.99]
1.99.1;Oxidoreductases,Other enzymes using O2 as oxidant (deleted subclass),Hydroxylases (now covered by EC 1.14) [EC1.99.1]
1.99.2;Oxidoreductases,Other enzymes using O2 as oxidant (deleted subclass),Oxygenases (now covered by EC 1.13) [EC1.99.2]
2;Transferases [EC2]
2.1;Transferases,Transferring one-carbon groups [EC2.1]
2.1.1;Transferases,Transferring one-carbon groups,Methyltransferases [EC2.1.1]
2.1.2;Transferases,Transferring one-carbon groups,Hydroxymethyl-, formyl- and related transferases [EC2.1.2]
2.1.3;Transferases,Transferring one-carbon groups,Carboxy- and carbamoyltransferases [EC2.1.3]
2.1.4;Transferases,Transferring one-carbon groups,Amidinotransferases [EC2.1.4]
2.1.5;Transferases,Transferring one-carbon groups,Methylenetransferases [EC2.1.5]
2.2;Transferases,Transferring aldehyde or ketonic groups [EC2.2]
2.2.1;Transferases,Transferring aldehyde or ketonic groups,Transketolases and transaldolases [EC2.2.1]
2.3;Transferases,Acyltransferases [EC2.3]
2.3.1;Transferases,Acyltransferases,Transferring groups other than aminoacyl groups [EC2.3.1]
2.3.2;Transferases,Acyltransferases,Aminoacyltransferases [EC2.3.2]
2.3.3;Transferases,Acyltransferases,Acyl groups converted into alkyl groups on transfer [EC2.3.3]
2.4;Transferases,Glycosyltransferases [EC2.4]
2.4.1;Transferases,Glycosyltransferases,Hexosyltransferases [EC2.4.1]
2.4.2;Transferases,Glycosyltransferases,Pentosyltransferases [EC2.4.2]
2.4.3;Transferases,Glycosyltransferases,Sialyltransferases [EC2.4.3]
2.4.99;Transferases,Glycosyltransferases,Transferring other glycosyl groups [EC2.4.99]
2.5;Transferases,Transferring alkyl or aryl groups, other than methyl groups [EC2.5]
2.5.1;Transferases,Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date) [EC2.5.1]
2.6;Transferases,Transferring nitrogenous groups [EC2.6]
2.6.1;Transferases,Transferring nitrogenous groups,Transaminases [EC2.6.1]
2.6.2;Transferases,Transferring nitrogenous groups,Amidinotransferases (deleted sub-subclass) [EC2.6.2]
2.6.3;Transferases,Transferring nitrogenous groups,Oximinotransferases [EC2.6.3]
2.6.99;Transferases,Transferring nitrogenous groups,Transferring other nitrogenous groups [EC2.6.99]
2.7;Transferases,Transferring phosphorus-containing groups [EC2.7]
2.7.1;Transferases,Transferring phosphorus-containing groups,Phosphotransferases with an alcohol group as acceptor [EC2.7.1]
2.7.2;Transferases,Transferring phosphorus-containing groups,Phosphotransferases with a carboxy group as acceptor [EC2.7.2]
2.7.3;Transferases,Transferring phosphorus-containing groups,Phosphotransferases with a nitrogenous group as acceptor [EC2.7.3]
2.7.4;Transferases,Transferring phosphorus-containing groups,Phosphotransferases with a phosphate group as acceptor [EC2.7.4]
2.7.5;Transferases,Transferring phosphorus-containing groups,Phosphotransferases with regeneration of donors, apparently catalysing intramolecular transfers (deleted sub-subclass) [EC2.7.5]
2.7.6;Transferases,Transferring phosphorus-containing groups,Diphosphotransferases [EC2.7.6]
2.7.7;Transferases,Transferring phosphorus-containing groups,Nucleotidyltransferases [EC2.7.7]
2.7.8;Transferases,Transferring phosphorus-containing groups,Transferases for other substituted phosphate groups [EC2.7.8]
2.7.9;Transferases,Transferring phosphorus-containing groups,Phosphotransferases with paired acceptors [EC2.7.9]
2.7.10;Transferases,Transferring phosphorus-containing groups,Protein-tyrosine kinases [EC2.7.10]
2.7.11;Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases [EC2.7.11]
2.7.12;Transferases,Transferring phosphorus-containing groups,Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) [EC2.7.12]
2.7.13;Transferases,Transferring phosphorus-containing groups,Protein-histidine kinases [EC2.7.13]
2.7.14;Transferases,Transferring phosphorus-containing groups,Protein-arginine kinases [EC2.7.14]
2.7.99;Transferases,Transferring phosphorus-containing groups,Other protein kinases [EC2.7.99]
2.8;Transferases,Transferring sulfur-containing groups [EC2.8]
2.8.1;Transferases,Transferring sulfur-containing groups,Sulfurtransferases [EC2.8.1]
2.8.2;Transferases,Transferring sulfur-containing groups,Sulfotransferases [EC2.8.2]
2.8.3;Transferases,Transferring sulfur-containing groups,CoA-transferases [EC2.8.3]
2.8.4;Transferases,Transferring sulfur-containing groups,Transferring alkylthio groups [EC2.8.4]
2.8.5;Transferases,Transferring sulfur-containing groups,Thiosulfotransferases [EC2.8.5]
2.9;Transferases,Transferring selenium-containing groups [EC2.9]
2.9.1;Transferases,Transferring selenium-containing groups,Selenotransferases [EC2.9.1]
2.10;Transferases,Transferring molybdenum- or tungsten-containing groups [EC2.10]
2.10.1;Transferases,Transferring molybdenum- or tungsten-containing groups,Molybdenumtransferases or tungstentransferases with sulfide groups as acceptors [EC2.10.1]
3;Hydrolases [EC3]
3.1;Hydrolases,Acting on ester bonds [EC3.1]
3.1.1;Hydrolases,Acting on ester bonds,Carboxylic-ester hydrolases [EC3.1.1]
3.1.2;Hydrolases,Acting on ester bonds,Thioester hydrolases [EC3.1.2]
3.1.3;Hydrolases,Acting on ester bonds,Phosphoric-monoester hydrolases [EC3.1.3]
3.1.4;Hydrolases,Acting on ester bonds,Phosphoric-diester hydrolases [EC3.1.4]
3.1.5;Hydrolases,Acting on ester bonds,Triphosphoric-monoester hydrolases [EC3.1.5]
3.1.6;Hydrolases,Acting on ester bonds,Sulfuric-ester hydrolases [EC3.1.6]
3.1.7;Hydrolases,Acting on ester bonds,Diphosphoric-monoester hydrolases [EC3.1.7]
3.1.8;Hydrolases,Acting on ester bonds,Phosphoric-triester hydrolases [EC3.1.8]
3.1.11;Hydrolases,Acting on ester bonds,Exodeoxyribonucleases producing 5′-phosphomonoesters [EC3.1.11]
3.1.12;Hydrolases,Acting on ester bonds,Exodeoxyribonucleases producing 3′-phosphomonoesters [EC3.1.12]
3.1.13;Hydrolases,Acting on ester bonds,Exoribonucleases producing 5′-phosphomonoesters [EC3.1.13]
3.1.14;Hydrolases,Acting on ester bonds,Exoribonucleases producing 3'-phosphomonoesters [EC3.1.14]
3.1.15;Hydrolases,Acting on ester bonds,Exonucleases that are active with either ribo- or deoxyribonucleic acids and produce 5'-phosphomonoesters [EC3.1.15]
3.1.16;Hydrolases,Acting on ester bonds,Exonucleases that are active with either ribo- or deoxyribonucleic acids and produce 3'-phosphomonoesters [EC3.1.16]
3.1.21;Hydrolases,Acting on ester bonds,Endodeoxyribonucleases producing 5'-phosphomonoesters [EC3.1.21]
3.1.22;Hydrolases,Acting on ester bonds,Endodeoxyribonucleases producing 3'-phosphomonoesters [EC3.1.22]
3.1.23;Hydrolases,Acting on ester bonds,Site-specific endodeoxyribonucleases: cleavage is sequence specific (deleted sub-subclass) [EC3.1.23]
3.1.24;Hydrolases,Acting on ester bonds,Site specific endodeoxyribonucleases: cleavage is not sequence specific (deleted sub-subclass) [EC3.1.24]
3.1.25;Hydrolases,Acting on ester bonds,Site-specific endodeoxyribonucleases that are specific for altered bases [EC3.1.25]
3.1.26;Hydrolases,Acting on ester bonds,Endoribonucleases producing 5'-phosphomonoesters [EC3.1.26]
3.1.27;Hydrolases,Acting on ester bonds,Endoribonucleases producing 3'-phosphomonoesters [EC3.1.27]
3.1.30;Hydrolases,Acting on ester bonds,Endoribonucleases that are active with either ribo- or deoxyribonucleic acids and produce 5'-phosphomonoesters [EC3.1.30]
3.1.31;Hydrolases,Acting on ester bonds,Endoribonucleases that are active with either ribo- or deoxyribonucleic acids and produce 3'-phosphomonoesters [EC3.1.31]
3.2;Hydrolases,Glycosylases [EC3.2]
3.2.1;Hydrolases,Glycosylases,Glycosidases, i.e. enzymes that hydrolyse O- and S-glycosyl compounds [EC3.2.1]
3.2.2;Hydrolases,Glycosylases,Hydrolysing N-glycosyl compounds [EC3.2.2]
3.2.3;Hydrolases,Glycosylases,Hydrolysing S-glycosyl compounds (deleted sub-subclass) [EC3.2.3]
3.3;Hydrolases,Acting on ether bonds [EC3.3]
3.3.1;Hydrolases,Acting on ether bonds,Thioether and trialkylsulfonium hydrolases (deleted sub-subclass) [EC3.3.1]
3.3.2;Hydrolases,Acting on ether bonds,Ether hydrolases [EC3.3.2]
3.4;Hydrolases,Acting on peptide bonds (peptidases) [EC3.4]
3.4.1;Hydrolases,Acting on peptide bonds (peptidases),α-Amino-acyl-peptide hydrolases (deleted sub-subclass) [EC3.4.1]
3.4.2;Hydrolases,Acting on peptide bonds (peptidases),Peptidyl-amino-acid hydrolases (deleted sub-subclass) [EC3.4.2]
3.4.3;Hydrolases,Acting on peptide bonds (peptidases),Dipeptide hydrolases (deleted sub-subclass) [EC3.4.3]
3.4.4;Hydrolases,Acting on peptide bonds (peptidases),Peptidyl peptide hydrolases (deleted sub-subclass) [EC3.4.4]
3.4.11;Hydrolases,Acting on peptide bonds (peptidases),Aminopeptidases [EC3.4.11]
3.4.12;Hydrolases,Acting on peptide bonds (peptidases),Peptidylamino-acid hydrolases or acylamino-acid hydrolases (deleted sub-subclass) [EC3.4.12]
3.4.13;Hydrolases,Acting on peptide bonds (peptidases),Dipeptidases [EC3.4.13]
3.4.14;Hydrolases,Acting on peptide bonds (peptidases),Dipeptidyl-peptidases and tripeptidyl-peptidases [EC3.4.14]
3.4.15;Hydrolases,Acting on peptide bonds (peptidases),Peptidyl-dipeptidases [EC3.4.15]
