Code_function;Definition_function
1.1.1.32;mevaldate reductase [EC 1.1.1.32]
1.1.1.33;mevaldate reductase (NADPH) [EC 1.1.1.33]
1.1.1.34;hydroxymethylglutaryl-CoA reductase (NADPH) [EC 1.1.1.34]
1.1.1.35;3-hydroxyacyl-CoA dehydrogenase [EC 1.1.1.35]
1.1.1.36;acetoacetyl-CoA reductase [EC 1.1.1.36]
1.1.1.37;malate dehydrogenase [EC 1.1.1.37]
1.1.1.38;malate dehydrogenase (oxaloacetate-decarboxylating) [EC 1.1.1.38]
1.1.1.39;malate dehydrogenase (decarboxylating) [EC 1.1.1.39]
1.1.1.40;malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) [EC 1.1.1.40]
1.1.1.41;isocitrate dehydrogenase (NAD+) [EC 1.1.1.41]
1.1.1.42;isocitrate dehydrogenase (NADP+) [EC 1.1.1.42]
1.1.1.43;phosphogluconate 2-dehydrogenase [EC 1.1.1.43]
1.1.1.44;phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating) [EC 1.1.1.44]
1.1.1.45;L-gulonate 3-dehydrogenase [EC 1.1.1.45]
1.1.1.46;L-arabinose 1-dehydrogenase [EC 1.1.1.46]
1.1.1.47;glucose 1-dehydrogenase [NAD(P)+] [EC 1.1.1.47]
1.1.1.48;D-galactose 1-dehydrogenase [EC 1.1.1.48]
1.1.1.49;glucose-6-phosphate dehydrogenase (NADP+) [EC 1.1.1.49]
1.1.1.50;3α-hydroxysteroid 3-dehydrogenase (Si-specific) [EC 1.1.1.50]
1.1.1.51;3(or 17)β-hydroxysteroid dehydrogenase [EC 1.1.1.51]
1.1.1.52;3α-hydroxycholanate dehydrogenase (NAD+) [EC 1.1.1.52]
1.1.1.53;3α(or 20β)-hydroxysteroid dehydrogenase [EC 1.1.1.53]
1.1.1.54;allyl-alcohol dehydrogenase [EC 1.1.1.54]
1.1.1.55;lactaldehyde reductase (NADPH) [EC 1.1.1.55]
1.1.1.56;ribitol 2-dehydrogenase [EC 1.1.1.56]
1.1.1.57;fructuronate reductase [EC 1.1.1.57]
1.1.1.58;tagaturonate reductase [EC 1.1.1.58]
1.1.1.59;3-hydroxypropionate dehydrogenase [EC 1.1.1.59]
1.1.1.60;2-hydroxy-3-oxopropionate reductase [EC 1.1.1.60]
1.1.1.61;4-hydroxybutyrate dehydrogenase [EC 1.1.1.61]
1.1.1.62;17β-estradiol 17-dehydrogenase [EC 1.1.1.62]
1.1.1.63;testosterone 17β-dehydrogenase. Now EC 1.1.1.239, 3α(17β)-hydroxysteroid dehydrogenase (NAD+) [EC 1.1.1.63]
1.1.1.64;testosterone 17β-dehydrogenase (NADP+) [EC 1.1.1.64]
1.1.1.65;pyridoxine 4-dehydrogenase [EC 1.1.1.65]
1.1.1.66;ω-hydroxydecanoate dehydrogenase [EC 1.1.1.66]
1.1.1.67;mannitol 2-dehydrogenase [EC 1.1.1.67]
1.1.1.68;5,10-methylenetetrahydrofolate reductase. Now EC 1.5.1.20, methylenetetrahydrofolate reductase [NAD(P)H] [EC 1.1.1.68]
1.1.1.69;gluconate 5-dehydrogenase [EC 1.1.1.69]
1.1.1.70; D-glucuronolactone dehydrogenase. Now included with EC 1.2.1.3 aldehyde dehydrogenase (NAD+) [EC 1.1.1.70]
1.1.1.71;alcohol dehydrogenase [NAD(P)+] [EC 1.1.1.71]
1.1.1.72;glycerol dehydrogenase (NADP+) [EC 1.1.1.72]
1.1.1.73;octanol dehydrogenase [EC 1.1.1.73]
1.1.1.74; D-aminopropanol dehydrogenase (reaction due to EC 1.1.1.4 (R,R)-butanediol dehydrogenase) [EC 1.1.1.74]
1.1.1.75;(R)-aminopropanol dehydrogenase [EC 1.1.1.75]
1.1.1.76;(S,S)-butanediol dehydrogenase [EC 1.1.1.76]
1.1.1.77;lactaldehyde reductase [EC 1.1.1.77]
1.1.1.78;methylglyoxal reductase (NADH) [EC 1.1.1.78]
1.1.1.79;glyoxylate reductase (NADP+) [EC 1.1.1.79]
1.1.1.80;isopropanol dehydrogenase (NADP+) [EC 1.1.1.80]
1.1.1.81;hydroxypyruvate reductase [EC 1.1.1.81]
1.1.1.82;malate dehydrogenase (NADP+) [EC 1.1.1.82]
1.1.1.83;D-malate dehydrogenase (decarboxylating) [EC 1.1.1.83]
1.1.1.84;dimethylmalate dehydrogenase [EC 1.1.1.84]
1.1.1.85;3-isopropylmalate dehydrogenase [EC 1.1.1.85]
1.1.1.86;ketol-acid reductoisomerase (NADP+) [EC 1.1.1.86]
1.1.1.87;homoisocitrate dehydrogenase [EC 1.1.1.87]
1.1.1.88;hydroxymethylglutaryl-CoA reductase [EC 1.1.1.88]
1.1.1.89; dihydroxyisovalerate dehydrogenase (isomerizing). Now included with EC 1.1.1.86 ketol-acid reductoisomerase [EC 1.1.1.89]
1.1.1.90;aryl-alcohol dehydrogenase [EC 1.1.1.90]
1.1.1.91;aryl-alcohol dehydrogenase (NADP+) [EC 1.1.1.91]
1.1.1.92;oxaloglycolate reductase (decarboxylating) [EC 1.1.1.92]
1.1.1.93;tartrate dehydrogenase [EC 1.1.1.93]
1.1.1.94;glycerol-3-phosphate dehydrogenase [NAD(P)+] [EC 1.1.1.94]
1.1.1.95;phosphoglycerate dehydrogenase [EC 1.1.1.95]
1.1.1.96;diiodophenylpyruvate reductase [EC 1.1.1.96]
1.1.1.97;3-hydroxybenzyl-alcohol dehydrogenase [EC 1.1.1.97]
1.1.1.98;(R)-2-hydroxy-fatty-acid dehydrogenase [EC 1.1.1.98]
1.1.1.99;(S)-2-hydroxy-fatty-acid dehydrogenase [EC 1.1.1.99]
1.1.1.100;3-oxoacyl-[acyl-carrier-protein] reductase [EC 1.1.1.100]
1.1.1.101;acylglycerone-phosphate reductase [EC 1.1.1.101]
1.1.1.102;3-dehydrosphinganine reductase [EC 1.1.1.102]
1.1.1.103;L-threonine 3-dehydrogenase [EC 1.1.1.103]
1.1.1.104;4-oxoproline reductase [EC 1.1.1.104]
1.1.1.105;all-trans-retinol dehydrogenase (NAD+) [EC 1.1.1.105]
1.1.1.106;pantoate 4-dehydrogenase [EC 1.1.1.106]
1.1.1.107;pyridoxal 4-dehydrogenase [EC 1.1.1.107]
1.1.1.108;carnitine 3-dehydrogenase [EC 1.1.1.108]
1.1.1.109;2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase. Now EC 1.3.1.28, 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC 1.1.1.109]
1.1.1.110;aromatic 2-oxoacid reductase [EC 1.1.1.110]
1.1.1.111;3-(imidazol-5-yl)lactate dehydrogenase [EC 1.1.1.111]
1.1.1.112;indanol dehydrogenase [EC 1.1.1.112]
1.1.1.113;L-xylose 1-dehydrogenase [EC 1.1.1.113]
1.1.1.114;apiose 1-reductase [EC 1.1.1.114]
1.1.1.115;ribose 1-dehydrogenase (NADP+) [EC 1.1.1.115]
1.1.1.116;D-arabinose 1-dehydrogenase (NAD+) [EC 1.1.1.116]
1.1.1.117;D-arabinose 1-dehydrogenase [NAD(P)+] [EC 1.1.1.117]
1.1.1.118;glucose 1-dehydrogenase (NAD+) [EC 1.1.1.118]
1.1.1.119;glucose 1-dehydrogenase (NADP+) [EC 1.1.1.119]
1.1.1.120;galactose 1-dehydrogenase (NADP+) [EC 1.1.1.120]
1.1.1.121;aldose 1-dehydrogenase (NAD+) [EC 1.1.1.121]
1.1.1.122;D-threo-aldose 1-dehydrogenase [EC 1.1.1.122]
1.1.1.123;sorbose 5-dehydrogenase (NADP+) [EC 1.1.1.123]
1.1.1.124;fructose 5-dehydrogenase (NADP+) [EC 1.1.1.124]
1.1.1.125;2-deoxy-D-gluconate 3-dehydrogenase [EC 1.1.1.125]
1.1.1.126;2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase [EC 1.1.1.126]
1.1.1.127;2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC 1.1.1.127]
1.1.1.128;L-idonate 2-dehydrogenase. The reaction described is covered by EC 1.1.1.264. [EC 1.1.1.128]
1.1.1.129;L-threonate 3-dehydrogenase [EC 1.1.1.129]
1.1.1.130;3-dehydro-L-gulonate 2-dehydrogenase [EC 1.1.1.130]
1.1.1.131;mannuronate reductase [EC 1.1.1.131]
1.1.1.132;GDP-mannose 6-dehydrogenase [EC 1.1.1.132]
1.1.1.133;dTDP-4-dehydrorhamnose reductase [EC 1.1.1.133]
1.1.1.134;dTDP-6-deoxy-L-talose 4-dehydrogenase (NADP+) [EC 1.1.1.134]
1.1.1.135;GDP-6-deoxy-D-talose 4-dehydrogenase [EC 1.1.1.135]
1.1.1.136;UDP-N-acetylglucosamine 6-dehydrogenase [EC 1.1.1.136]
1.1.1.137;ribitol-5-phosphate 2-dehydrogenase [EC 1.1.1.137]
1.1.1.138;mannitol 2-dehydrogenase (NADP+) [EC 1.1.1.138]
1.1.1.139;polyol dehydrogenase (NADP+). Now included with EC 1.1.1.21 aldehyde reductase [EC 1.1.1.139]
1.1.1.140;sorbitol-6-phosphate 2-dehydrogenase [EC 1.1.1.140]
1.1.1.141;15-hydroxyprostaglandin dehydrogenase (NAD+) [EC 1.1.1.141]
1.1.1.142;D-pinitol dehydrogenase [EC 1.1.1.142]
1.1.1.143;sequoyitol dehydrogenase [EC 1.1.1.143]
1.1.1.144;perillyl-alcohol dehydrogenase [EC 1.1.1.144]
1.1.1.145;3β-hydroxy-Δ5-steroid dehydrogenase [EC 1.1.1.145]
1.1.1.146;11β-hydroxysteroid dehydrogenase [EC 1.1.1.146]
1.1.1.147;16α-hydroxysteroid dehydrogenase [EC 1.1.1.147]
1.1.1.148;estradiol 17α-dehydrogenase [EC 1.1.1.148]
1.1.1.149;20α-hydroxysteroid dehydrogenase [EC 1.1.1.149]
1.1.1.150;21-hydroxysteroid dehydrogenase (NAD+) [EC 1.1.1.150]
1.1.1.151;21-hydroxysteroid dehydrogenase (NADP+) [EC 1.1.1.151]
1.1.1.152;3α-hydroxy-5β-androstane-17-one 3α-dehydrogenase [EC 1.1.1.152]
1.1.1.153;sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming) [EC 1.1.1.153]
1.1.1.154;ureidoglycolate dehydrogenase [EC 1.1.1.154]
1.1.1.155;homoisocitrate dehydrogenase. The enzyme is identical to EC 1.1.1.87, homoisocitrate dehydrogenase [EC 1.1.1.155]
1.1.1.156;glycerol 2-dehydrogenase (NADP+) [EC 1.1.1.156]
1.1.1.157;3-hydroxybutyryl-CoA dehydrogenase [EC 1.1.1.157]
1.1.1.158;UDP-N-acetylmuramate dehydrogenase. Now EC 1.3.1.98, UDP-N-acetylmuramate dehydrogenase [EC 1.1.1.158]
1.1.1.159;7α-hydroxysteroid dehydrogenase [EC 1.1.1.159]
1.1.1.160;dihydrobunolol dehydrogenase [EC 1.1.1.160]
1.1.1.161;cholestanetetraol 26-dehydrogenase. The activity is part of EC 1.14.13.15, cholestanetriol 26-monooxygenase [EC 1.1.1.161]
1.1.1.162;erythrulose reductase [EC 1.1.1.162]
1.1.1.163;cyclopentanol dehydrogenase [EC 1.1.1.163]
1.1.1.164;hexadecanol dehydrogenase [EC 1.1.1.164]
1.1.1.165;2-alkyn-1-ol dehydrogenase [EC 1.1.1.165]
1.1.1.166;hydroxycyclohexanecarboxylate dehydrogenase [EC 1.1.1.166]
1.1.1.167;hydroxymalonate dehydrogenase [EC 1.1.1.167]
1.1.1.168;2-dehydropantolactone reductase (Re-specific) [EC 1.1.1.168]
1.1.1.169;2-dehydropantoate 2-reductase [EC 1.1.1.169]
1.1.1.170;3β-hydroxysteroid-4α-carboxylate 3-dehydrogenase (decarboxylating) [EC 1.1.1.170]
1.1.1.171;methylenetetrahydrofolate reductase (NADPH). Now EC 1.5.1.20, methylenetetrahydrofolate reductase [NAD(P)H] [EC 1.1.1.171]
1.1.1.172;2-oxoadipate reductase [EC 1.1.1.172]
1.1.1.173;L-rhamnose 1-dehydrogenase [EC 1.1.1.173]
1.1.1.174;cyclohexane-1,2-diol dehydrogenase [EC 1.1.1.174]
1.1.1.175;D-xylose 1-dehydrogenase [EC 1.1.1.175]
1.1.1.176;12α-hydroxysteroid dehydrogenase [EC 1.1.1.176]
1.1.1.177;glycerol-3-phosphate 1-dehydrogenase (NADP+) [EC 1.1.1.177]
1.1.1.178;3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC 1.1.1.178]
1.1.1.179;D-xylose 1-dehydrogenase (NADP+, D-xylono-1,5-lactone-forming) [EC 1.1.1.179]
1.1.1.180; mannonate dehydrogenase (NAD(P)+). Now included with EC 1.1.1.131 mannuronate reductase [EC 1.1.1.180]
1.1.1.181;cholest-5-ene-3β,7α-diol 3β-dehydrogenase [EC 1.1.1.181]
1.1.1.182; fenchol dehydrogenase. Now included with EC 1.1.1.198 (+)-borneol dehydrogenase, EC 1.1.1.227 (-)-borneol dehydrogenase and EC 1.1.1.228 (+)-sabinol dehydrogenase [EC 1.1.1.182]
1.1.1.183;geraniol dehydrogenase (NADP+) [EC 1.1.1.183]
1.1.1.184;carbonyl reductase (NADPH) [EC 1.1.1.184]
1.1.1.185;L-glycol dehydrogenase [EC 1.1.1.185]
1.1.1.186;dTDP-galactose 6-dehydrogenase [EC 1.1.1.186]
1.1.1.187;GDP-4-dehydro-D-rhamnose reductase [EC 1.1.1.187]
1.1.1.188;prostaglandin-F synthase [EC 1.1.1.188]
1.1.1.189;prostaglandin-E2 9-reductase [EC 1.1.1.189]
1.1.1.190;indole-3-acetaldehyde reductase (NADH) [EC 1.1.1.190]
1.1.1.191;indole-3-acetaldehyde reductase (NADPH) [EC 1.1.1.191]
1.1.1.192;long-chain-alcohol dehydrogenase [EC 1.1.1.192]
1.1.1.193;5-amino-6-(5-phosphoribosylamino)uracil reductase [EC 1.1.1.193]
1.1.1.194;coniferyl-alcohol dehydrogenase [EC 1.1.1.194]
1.1.1.195;cinnamyl-alcohol dehydrogenase [EC 1.1.1.195]
1.1.1.196;15-hydroxyprostaglandin-D dehydrogenase (NADP+) [EC 1.1.1.196]
1.1.1.197;15-hydroxyprostaglandin dehydrogenase (NADP+) [EC 1.1.1.197]
1.1.1.198;(+)-borneol dehydrogenase [EC 1.1.1.198]
1.1.1.199;(S)-usnate reductase [EC 1.1.1.199]
1.1.1.200;aldose-6-phosphate reductase (NADPH) [EC 1.1.1.200]
1.1.1.201;7β-hydroxysteroid dehydrogenase (NADP+) [EC 1.1.1.201]
1.1.1.202;1,3-propanediol dehydrogenase [EC 1.1.1.202]
1.1.1.203;uronate dehydrogenase [EC 1.1.1.203]
1.1.1.204;xanthine dehydrogenase. Now EC 1.17.1.4, xanthine dehydrogenase. The enzyme was incorrectly classified as acting on a CH-OH group [EC 1.1.1.204]
1.1.1.205;IMP dehydrogenase [EC 1.1.1.205]
1.1.1.206;tropinone reductase I [EC 1.1.1.206]
1.1.1.207;(-)-menthol dehydrogenase [EC 1.1.1.207]
1.1.1.208;(+)-neomenthol dehydrogenase [EC 1.1.1.208]
1.1.1.209;3(or 17)α-hydroxysteroid dehydrogenase [EC 1.1.1.209]
1.1.1.210;3β(or 20α)-hydroxysteroid dehydrogenase [EC 1.1.1.210]
1.1.1.211;long-chain-3-hydroxyacyl-CoA dehydrogenase [EC 1.1.1.211]
1.1.1.212;3-oxoacyl-[acyl-carrier-protein] reductase (NADH) [EC 1.1.1.212]
1.1.1.213;3α-hydroxysteroid 3-dehydrogenase (Re-specific) [EC 1.1.1.213]
1.1.1.214;2-dehydropantolactone reductase (Si-specific) [EC 1.1.1.214]
1.1.1.215;gluconate 2-dehydrogenase [EC 1.1.1.215]
1.1.1.216;farnesol dehydrogenase (NADP+) [EC 1.1.1.216]
1.1.1.217;benzyl-2-methyl-hydroxybutyrate dehydrogenase [EC 1.1.1.217]
1.1.1.218;morphine 6-dehydrogenase [EC 1.1.1.218]
1.1.1.219;dihydroflavonol 4-reductase [EC 1.1.1.219]
1.1.1.220;6-pyruvoyltetrahydropterin 2′-reductase [EC 1.1.1.220]
1.1.1.221;vomifoliol dehydrogenase [EC 1.1.1.221]
1.1.1.222;(R)-4-hydroxyphenyllactate dehydrogenase. Now included with EC 1.1.1.110, aromatic 2-oxoacid reductase [EC 1.1.1.222]
1.1.1.223;isopiperitenol dehydrogenase [EC 1.1.1.223]
1.1.1.224;mannose-6-phosphate 6-reductase [EC 1.1.1.224]
1.1.1.225;chlordecone reductase [EC 1.1.1.225]
1.1.1.226;4-hydroxycyclohexanecarboxylate dehydrogenase [EC 1.1.1.226]
1.1.1.227;(-)-borneol dehydrogenase [EC 1.1.1.227]
1.1.1.228;(+)-sabinol dehydrogenase [EC 1.1.1.228]
1.1.1.229;diethyl 2-methyl-3-oxosuccinate reductase [EC 1.1.1.229]
1.1.1.230;3α-hydroxyglycyrrhetinate dehydrogenase [EC 1.1.1.230]
1.1.1.231;15-hydroxyprostaglandin-I dehydrogenase (NADP+) [EC 1.1.1.231]
1.1.1.232;15-hydroxyicosatetraenoate dehydrogenase [EC 1.1.1.232]
1.1.1.233;N-acylmannosamine 1-dehydrogenase [EC 1.1.1.233]
1.1.1.234;flavanone 4-reductase [EC 1.1.1.234]
1.1.1.235;8-oxocoformycin reductase [EC 1.1.1.235]
1.1.1.236;tropinone reductase II [EC 1.1.1.236]
1.1.1.237;hydroxyphenylpyruvate reductase [EC 1.1.1.237]
1.1.1.238;12β-hydroxysteroid dehydrogenase [EC 1.1.1.238]
1.1.1.239;3α(17β)-hydroxysteroid dehydrogenase (NAD+) [EC 1.1.1.239]
1.1.1.240;N-acetylhexosamine 1-dehydrogenase [EC 1.1.1.240]
1.1.1.241;6-endo-hydroxycineole dehydrogenase [EC 1.1.1.241]
1.1.1.242;zeatin reductase. Now EC 1.3.1.69, zeatin reductase [EC 1.1.1.242]
1.1.1.243;carveol dehydrogenase [EC 1.1.1.243]
1.1.1.244;methanol dehydrogenase [EC 1.1.1.244]
1.1.1.245;cyclohexanol dehydrogenase [EC 1.1.1.245]
1.1.1.246;pterocarpin synthase. This activity is now known to be catalysed by two enzymes, vestitone reductase (EC 1.1.1.348) and medicarpin synthase (EC 4.2.1.139). [EC 1.1.1.246]
1.1.1.247;codeinone reductase (NADPH) [EC 1.1.1.247]
1.1.1.248;salutaridine reductase (NADPH) [EC 1.1.1.248]
1.1.1.249;Provisional entry deleted. Revised and reinstated as EC 2.5.1.46 deoxyhypusine synthase [EC 1.1.1.249]
1.1.1.250;D-arabinitol 2-dehydrogenase [EC 1.1.1.250]
1.1.1.251;galactitol-1-phosphate 5-dehydrogenase [EC 1.1.1.251]
1.1.1.252;tetrahydroxynaphthalene reductase [EC 1.1.1.252]
1.1.1.253;pteridine reductase. Now EC 1.5.1.33, pteridine reductase [EC 1.1.1.253]
1.1.1.254;(S)-carnitine 3-dehydrogenase [EC 1.1.1.254]
1.1.1.255;mannitol dehydrogenase [EC 1.1.1.255]
1.1.1.256;fluoren-9-ol dehydrogenase [EC 1.1.1.256]
1.1.1.257;4-(hydroxymethyl)benzenesulfonate dehydrogenase [EC 1.1.1.257]
1.1.1.258;6-hydroxyhexanoate dehydrogenase [EC 1.1.1.258]
1.1.1.259;3-hydroxypimeloyl-CoA dehydrogenase [EC 1.1.1.259]
1.1.1.260;sulcatone reductase [EC 1.1.1.260]
1.1.1.261;sn-glycerol-1-phosphate dehydrogenase [EC 1.1.1.261]
1.1.1.262;4-hydroxythreonine-4-phosphate dehydrogenase [EC 1.1.1.262]
1.1.1.263;1,5-anhydro-D-fructose reductase [EC 1.1.1.263]
1.1.1.264;L-idonate 5-dehydrogenase [EC 1.1.1.264]
1.1.1.265;3-methylbutanal reductase [EC 1.1.1.265]
1.1.1.266;dTDP-4-dehydro-6-deoxyglucose reductase [EC 1.1.1.266]
1.1.1.267;1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC 1.1.1.267]
1.1.1.268;2-(R)-hydroxypropyl-CoM dehydrogenase [EC 1.1.1.268]
1.1.1.269;2-(S)-hydroxypropyl-CoM dehydrogenase [EC 1.1.1.269]
1.1.1.270;3β-hydroxysteroid 3-dehydrogenase [EC 1.1.1.270]
1.1.1.271;GDP-L-fucose synthase [EC 1.1.1.271]
1.1.1.272;D-2-hydroxyacid dehydrogenase (NADP+) [EC 1.1.1.272]
1.1.1.273;vellosimine dehydrogenase [EC 1.1.1.273]
1.1.1.274;2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [EC 1.1.1.274]
1.1.1.275;(+)-trans-carveol dehydrogenase [EC 1.1.1.275]
1.1.1.276;serine 3-dehydrogenase (NADP+) [EC 1.1.1.276]
1.1.1.277;3β-hydroxy-5β-steroid dehydrogenase [EC 1.1.1.277]
1.1.1.278;3β-hydroxy-5α-steroid dehydrogenase [EC 1.1.1.278]
1.1.1.279;(R)-3-hydroxyacid-ester dehydrogenase [EC 1.1.1.279]
1.1.1.280;(S)-3-hydroxyacid-ester dehydrogenase [EC 1.1.1.280]
1.1.1.281;GDP-4-dehydro-6-deoxy-D-mannose reductase [EC 1.1.1.281]
1.1.1.282;quinate/shikimate dehydrogenase [NAD(P)+] [EC 1.1.1.282]
1.1.1.283;methylglyoxal reductase (NADPH) [EC 1.1.1.283]
1.1.1.284;S-(hydroxymethyl)glutathione dehydrogenase [EC 1.1.1.284]
1.1.1.285;3′′-deamino-3′′-oxonicotianamine reductase [EC 1.1.1.285]
1.1.1.286;isocitrate—homoisocitrate dehydrogenase [EC 1.1.1.286]
1.1.1.287;D-arabinitol dehydrogenase (NADP+) [EC 1.1.1.287]
1.1.1.288;xanthoxin dehydrogenase [EC 1.1.1.288]
1.1.1.289;sorbose reductase [EC 1.1.1.289]
1.1.1.290;4-phosphoerythronate dehydrogenase [EC 1.1.1.290]
1.1.1.291;2-hydroxymethylglutarate dehydrogenase [EC 1.1.1.291]
1.1.1.292;1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [EC 1.1.1.292]
1.1.1.293;tropinone reductase I. This enzyme was already in the Enzyme List as EC 1.1.1.206, tropine dehydrogenase so EC 1.1.1.293 has been withdrawn at the public-review stage [EC 1.1.1.293]
1.1.1.294;chlorophyll(ide) b reductase [EC 1.1.1.294]
1.1.1.295;momilactone-A synthase [EC 1.1.1.295]
1.1.1.296;dihydrocarveol dehydrogenase [EC 1.1.1.296]
1.1.1.297;limonene-1,2-diol dehydrogenase [EC 1.1.1.297]
1.1.1.298;3-hydroxypropionate dehydrogenase (NADP+) [EC 1.1.1.298]
1.1.1.299;malate dehydrogenase [NAD(P)+] [EC 1.1.1.299]
1.1.1.300;NADP-retinol dehydrogenase [EC 1.1.1.300]
1.1.1.301;D-arabitol-phosphate dehydrogenase [EC 1.1.1.301]
1.1.1.302;2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5′-phosphate reductase [EC 1.1.1.302]
1.1.1.303;diacetyl reductase [(R)-acetoin forming] [EC 1.1.1.303]
1.1.1.304;diacetyl reductase [(S)-acetoin forming] [EC 1.1.1.304]
1.1.1.305;UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC 1.1.1.305]
1.1.1.306;S-(hydroxymethyl)mycothiol dehydrogenase [EC 1.1.1.306]
1.1.1.307;D-xylose reductase [NAD(P)H] [EC 1.1.1.307]
1.1.1.308;sulfopropanediol 3-dehydrogenase [EC 1.1.1.308]
1.1.1.309;phosphonoacetaldehyde reductase (NADH) [EC 1.1.1.309]
1.1.1.310;(S)-sulfolactate dehydrogenase [EC 1.1.1.310]
1.1.1.311;(S)-1-phenylethanol dehydrogenase [EC 1.1.1.311]
1.1.1.312;2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [EC 1.1.1.312]
1.1.1.313;sulfoacetaldehyde reductase (NADPH) [EC 1.1.1.313]
1.1.1.314;germacrene A alcohol dehydrogenase. Now known to be catalyzed by EC 1.14.14.95, germacrene A hydroxylase [EC 1.1.1.314]
1.1.1.315;11-cis-retinol dehydrogenase [EC 1.1.1.315]
1.1.1.316;L-galactose 1-dehydrogenase [EC 1.1.1.316]
1.1.1.317;perakine reductase [EC 1.1.1.317]
1.1.1.318;eugenol synthase [EC 1.1.1.318]
1.1.1.319;isoeugenol synthase [EC 1.1.1.319]
1.1.1.320;benzil reductase [(S)-benzoin forming] [EC 1.1.1.320]
1.1.1.321;benzil reductase [(R)-benzoin forming] [EC 1.1.1.321]
1.1.1.322;(–)-endo-fenchol dehydrogenase [EC 1.1.1.322]
1.1.1.323;(+)-thujan-3-ol dehydrogenase [EC 1.1.1.323]
1.1.1.324;8-hydroxygeraniol dehydrogenase [EC 1.1.1.324]
1.1.1.325;sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming) [EC 1.1.1.325]
1.1.1.326;zerumbone synthase [EC 1.1.1.326]
1.1.1.327;5-exo-hydroxycamphor dehydrogenase [EC 1.1.1.327]
1.1.1.328;nicotine blue oxidoreductase [EC 1.1.1.328]
1.1.1.329;2-deoxy-scyllo-inosamine dehydrogenase [EC 1.1.1.329]
1.1.1.330;very-long-chain 3-oxoacyl-CoA reductase [EC 1.1.1.330]
1.1.1.331;secoisolariciresinol dehydrogenase [EC 1.1.1.331]
1.1.1.332;chanoclavine-I dehydrogenase [EC 1.1.1.332]
1.1.1.333;decaprenylphospho-β-D-erythro-pentofuranosid-2-ulose 2-reductase [EC 1.1.1.333]
1.1.1.334;methylecgonone reductase [EC 1.1.1.334]
